"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"28.06.2024","5.385,00","5.439,80","5.480,00","5.332,30","309,85K","-1,27%"
"27.06.2024","5.454,00","5.362,10","5.489,30","5.362,10","188,77K","1,66%"
"26.06.2024","5.365,00","5.340,10","5.425,00","5.335,20","333,51K","0,75%"
"25.06.2024","5.325,00","5.340,00","5.340,00","5.280,00","357,45K","-0,28%"
"24.06.2024","5.340,10","5.418,00","5.455,40","5.320,00","550,65K","-1,84%"
"21.06.2024","5.440,00","5.490,00","5.490,00","5.435,00","555,15K","-1,56%"
"19.06.2024","5.526,00","5.507,00","5.531,00","5.500,10","114,05K","0,35%"
"18.06.2024","5.507,00","5.475,00","5.592,90","5.475,00","137,28K","0,31%"
"17.06.2024","5.490,10","5.501,10","5.523,60","5.488,00","299,23K","-0,20%"
"14.06.2024","5.501,00","5.501,00","5.600,00","5.500,00","84,48K","-0,31%"
"13.06.2024","5.518,00","5.538,10","5.555,00","5.518,00","224,42K","-0,36%"
"12.06.2024","5.538,00","5.505,10","5.610,00","5.505,10","158,48K","-0,66%"
"11.06.2024","5.575,00","5.551,00","5.591,50","5.519,90","222,55K","-0,75%"
"10.06.2024","5.617,00","5.627,40","5.683,00","5.596,00","95,06K","-0,18%"
"07.06.2024","5.627,40","5.692,10","5.721,80","5.611,00","143,64K","-1,35%"
"06.06.2024","5.704,40","5.739,00","5.739,00","5.670,10","46,69K","0,04%"
"05.06.2024","5.702,00","5.675,10","5.738,70","5.670,00","173,24K","-0,02%"
"04.06.2024","5.703,00","5.700,00","5.716,80","5.601,00","191,60K","-0,19%"
"03.06.2024","5.713,70","5.712,10","5.714,10","5.635,60","253,78K","0,03%"
"31.05.2024","5.712,00","5.670,10","5.724,00","5.656,10","502,54K","0,92%"
"30.05.2024","5.660,00","5.689,10","5.689,10","5.632,00","80,45K","-0,33%"
"29.05.2024","5.679,00","5.800,00","5.816,10","5.630,00","362,25K","-2,36%"